y_test,y_Hat
1274.9157,1630.4974214664112
1295.2014,1302.7546226836012
1477.4529,1449.1880937278677
1209.9269,1524.6889651186957
1209.9269,1390.5340136431882
5453.5706,6217.6462873756955
5687.3991,6479.272163539335
5126.1761,6479.272163539335
4251.1728,6479.272163539335
4865.5578,3009.540790656484
4865.5578,3682.100335740827
1027.9655,179.64802761736564
1161.5344,58.57696350899663
1185.6827,89.84747008466934
1139.1903,476.1407854079293
1208.2185,4207.377152926979
1208.2185,4207.377152926979
48675.2223,51273.51366680394
53044.5324,52949.2801608079
52476.2733,53963.15852588473
52162.5701,52390.73376701316
57767.8788,53594.727463232615
57767.8788,48543.32574435835
42924.9956,40663.15869264816
43250.441,40587.828969738395
42865.2336,42706.53923047872
41596.5055,41483.0458818064
48781.0266,42332.647207883674
48781.0266,43578.61308509645
2127.2806,3580.0546358499287
1981.8591,3823.4731386044004
1890.2731,3702.6151482694036
1863.1093,3121.6200301302188
2045.5354,3681.990059147991
2045.5354,3479.8837317385405
514.5433,438.2697998571958
567.3308,189.5664082304571
550.9636,443.2849380704259
564.822,188.154173485736
590.6295,189.46546559671776
590.6295,264.70459377286267
1941.8795,2032.9123773511878
2125.8343,2163.2466182175626
2204.1816,1990.265612992824
2074.6139,1970.5630729277104
2065.7491,1939.5671768389998
2065.7491,2004.6832253307268
690.0,1390.5817388898304
692.0,2324.1551320779536
643.0,2324.1551320779536
621.0,746.9594447428624
654.0,6169.282166976882
666.0,919.5712159577087
5450.4929,10282.415349730862
6108.7401,10067.394193370625
6070.3881,10137.90388508781
5965.4502,8936.766429482626
6694.6411,10896.914008270878
6694.6411,9918.853567211754
75496.7541,78934.5992938671
82267.8093,83445.52257916001
75719.7529,74421.70484535275
67329.6778,80271.22335516206
89154.2761,89174.32519238107
89154.2761,90442.3417866345
17802.5751,19228.311600503897
19887.5743,23538.034182748263
19132.1523,27630.0192391548
16707.623,22159.64634586119
19509.4665,22198.969089049624
19509.4665,20842.130570880214
1567.641,801.7659339784449
1620.7429,784.4231613231076
1437.1659,969.6416372059241
1322.315,955.7858515528914
1505.0102,757.8792816140708
1505.0102,602.6586421432111
15185.9725,9936.69800281357
15588.3373,9811.158521677724
15826.0824,10421.82409625441
12569.1715,10259.78560249013
14617.6045,9645.199221249673
14617.6045,9254.627019909922
2495.1314,3319.5778042664447
2584.2988,3471.8925244125185
2593.8047,4041.0239185726214
2446.0663,4032.9351787356004
2672.9458,3860.96678424124
2672.9458,3706.186743644321
6136.0583,6771.980593562967
6242.9615,5817.317565602305
5807.8388,6537.49240526082
5353.3481,4884.190962645597
5891.5,6785.179742097669
5891.5,4844.838196419643
6676.2842,7895.269038123465
6912.1103,7895.269038123465
6955.81,6913.69922242689
6056.3439,6364.2326831871
6621.5743,7884.885621872079
6621.5743,6865.2121483849705
3077.4356,4760.765611226069
3194.6745,4759.712473957915
3413.8479,4842.16418782532
3224.4226,6382.094611345396
3460.531,5561.565215033272
3460.531,5471.4016523004975
13815.6218,15824.740244263736
15504.5805,13853.938770726536
